sample_id,whole_cell_average_intensity,nuc_tau_intensity_at_body,cyto_tau_intensity_at_body,tau_intensity_of_bundle,tau_intensity_of_a_single_filament,nuc_background_ratio,nuc_cyto_ratio,single_filament_cyto_ratio,single_filament_bundle_ratio,tau_continuity,bundle_width,single_filament_number,germinal_center,droplet_number,all_droplet_size,droplet_intensity
WT_3_2,202.20070118812433,112.10274147003905,210.24421098095078,862.1025641025641,214.68,0.5334480187843881,0.5332025121975708,1.0215684217075065,0.24901909464041402,3.6932762003286896,2.0,1.0,1.0,0.0,0.0,0.0
WT_3_3,18.745407485328315,14.898127993034393,18.820225258149453,,23.428571428571427,0.7916211497660188,0.7916020020314725,1.2448914830327968,,4.2137506381636305,0.0,1.0,1.0,0.0,0.0,0.0
WT_3_4,35.87267321351067,20.786808421347136,36.801402895355544,,47.92982456140351,0.5648793270496124,0.5648373916737424,1.3024879286445536,,4.346736341305376,0.0,1.0,1.0,0.0,0.0,0.0
WT_4,1657.2585198774548,1067.709162145871,1675.483001816742,8969.719298245614,0.0,0.6377461077222181,0.6372545474875865,,,4.767024019774878,2.0,20.0,1.0,0.0,0.0,0.0
WT_4_2,17.450589029930722,12.494493858534518,17.54049905874217,,39.68181818181818,0.7123606006785069,0.712322597931287,2.262417682226211,,4.067123500704852,0.0,1.0,1.0,0.0,0.0,0.0
WT_4_3,39.28848162827731,26.692243010300608,39.77550199334333,,91.84615384615384,0.6712117237709095,0.6710724358618456,2.3095929113568636,,4.353494281317438,0.0,1.0,1.0,0.0,0.0,0.0
WT_4_4,371.4805256143166,151.29442745497792,374.3114897335081,1725.595744680851,576.0888888888888,0.4043652466962566,0.40419391764514717,1.5397151738708228,0.33384927533849273,3.76703642694351,2.0,1.0,1.0,0.0,0.0,0.0
WT_5,55.81474622167594,47.135065492806525,56.21695294717596,,55.0,0.8384473698181599,0.8384493114932217,0.978350297339388,,4.184075959508657,0.0,1.0,1.0,0.0,0.0,0.0
WT_5_2,50.11928742026361,45.33670073686713,50.24220477732299,,84.625,0.9024232529771353,0.9023628827158879,1.684453578270399,,4.305338418012077,0.0,1.0,1.0,0.0,0.0,0.0
WT_5_3,4534.495283192825,3455.975304045669,4556.294058628621,10595.42857142857,0.0,0.7587353628277528,0.7585057635823154,,,4.69762015767143,2.0,26.0,1.0,0.0,0.0,0.0
WT_5_4,43.27246975044114,41.501023192360165,43.35826230591345,,61.416666666666664,0.9571968892474876,0.9571652779705615,1.4165395876819087,,4.311396426749745,0.0,1.0,1.0,0.0,0.0,0.0
WT_6,3919.9838214155634,2443.516411870504,3938.47161658104,8893.68115942029,0.0,0.6205741917024897,0.620422501353889,,,4.821940017829943,2.0,45.0,1.0,0.0,0.0,0.0
WT_6_2,2629.9318302157776,3551.65664160401,2627.3792758808568,,0.0,1.3517868068032468,1.3517868068032468,,,1.0,0.0,43.0,0.0,0.0,0.0,0.0
WT_6_3,10.641753232987067,9.39950844366923,10.675882784744504,,21.03125,0.8805027396483898,0.8804432039194762,1.9701108152844433,,4.3038636482252866,0.0,1.0,1.0,0.0,0.0,0.0
WT_6_4,4309.209871096093,2946.615470337594,4366.434154452654,8150.964285714285,0.0,0.6749235667051673,0.6748333688560938,,,4.710772384929392,2.0,25.0,1.0,0.0,0.0,0.0
WT_7,5458.0472439305395,4121.640356460853,5503.240117960235,,0.0,0.756288635758137,0.7489479412336691,,,1.0,0.0,24.0,1.0,1.0,5189.0,6884.4896897282715
WT_7_2,7897.976630785791,6945.8029350104825,7902.890849680274,,0.0,0.8788939474333608,0.8788939474333608,,,1.0,0.0,16.0,1.0,0.0,0.0,0.0
WT_7_3,3278.985156236058,2580.178259462957,3294.751495421583,,0.0,0.7831177140516961,0.7831177140516961,,,1.0,0.0,35.0,1.0,0.0,0.0,0.0
WT_8,5385.052578743125,3607.406179196704,5419.970157828513,,0.0,0.6655767604155952,0.6655767604155952,,,1.0,0.0,34.0,1.0,0.0,0.0,0.0
WT_8_2,5199.810204994165,3598.7430510665804,5218.023214344803,,0.0,0.6896755539862913,0.6896755539862913,,,1.0,0.0,24.0,1.0,0.0,0.0,0.0
WT_8_3,6857.20953942528,4714.254151454481,6957.300490117881,,0.0,0.6775981802353638,0.6775981802353638,,,1.0,0.0,38.0,1.0,0.0,0.0,0.0
WT_9,786.3467654300609,765.0691790040377,786.9046745198789,,0.0,0.9771500198534431,0.9722514095761804,,,1.0,0.0,28.0,0.0,1.0,2522.0,1004.5785091197463
WT_9_2,7155.109068888101,6536.861457153643,7175.08611141606,,0.0,0.9110498962170005,0.9110498962170005,,,1.0,0.0,27.0,0.0,0.0,0.0,0.0
