sample_id,Whole Cell Average Intensity,Nuc Tau Intensity at Body (zstack),Cyto Tau Intensity at Body (zstack),Tau Intensity of Bundle,Tau Intensity of a Single Filament,Nuc/Background,Nuc/Cyto,Single Filament/Cyto,Single Filament/Bundle,Tau Continuity,Bundle Width,Single Filament Number,Germinal Center,Droplet Number,All Droplet Size,Droplet Intensity
WT_2,18.47960329199378,3.8033877219005694,9.533772652388798,0.0,26.13636363636364,1.9016938609502847,0.3989383700006299,2.7414502725544714,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_20,16.37224235679805,2.8344149259785034,7.724747474747475,0.0,26.382978723404257,1.4172074629892517,0.3669265481162103,3.415383973346873,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_21,3775.9853805776247,1967.012599469496,3148.715691951361,7725.258064516129,0.0,983.506299734748,0.6247031462692889,0.0,0.0,-2.0,15.0,0.0,0.0,1.0,116.0,5955.956896551724
WT_22,15.266998765963924,3.301031852848811,4.014598540145985,0.0,16.885714285714286,1.6505159264244056,0.8222570251641584,4.206077922077922,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_23,3548.866031557011,997.1400960080848,3120.4557640750672,6762.307692307692,1674.3829787234042,498.57004800404246,0.3195495053920903,0.5365828280599604,0.2476052636037339,1.0,7.0,0.5,0.0,1.0,3790.0,4025.210817941952
WT_24,53.69164216170802,10.739783653846152,19.32323232323232,0.0,59.72727272727273,5.369891826923077,0.5557964358237163,3.090956612650288,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
WT_25,23.87049016833111,4.88859649122807,6.322645290581162,0.0,25.55172413793104,2.444298245614035,0.7731884783273557,4.041302803431882,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_26,3714.41779451684,963.375,3855.469488188976,7355.030303030303,1567.1,481.6875,0.2498722925836263,0.4064615229872073,0.213065063695842,1.0,16.0,0.25,0.0,1.0,93.0,5011.591397849463
WT_2_2,3791.81884867722,2867.7975056880423,3288.545049063336,0.0,0.0,1433.8987528440211,0.8720566277493648,0.0,1.0,1.0,0.0,0.0,0.0,1.0,241.0,4728.103734439834
WT_2_3,1446.525392783357,273.2207321023648,872.1511335012594,6247.04347826087,0.0,136.61036605118238,0.3132722318499059,0.0,0.0,1.0,27.0,0.0,0.0,1.0,1189.0,3615.697224558453
WT_2_4,2736.55323878038,1070.6664326458974,2949.457583547558,5564.063829787234,0.0,535.3332163229487,0.3630045194134027,0.0,0.0,-2.0,15.0,0.0,0.0,2.0,132.0,4374.022727272727
WT_3,3077.085066449732,660.4879032258065,3187.102143757881,15020.96551724138,2640.172413793104,330.24395161290323,0.2072377581369361,0.8283927827553407,0.1757658261556261,1.0,11.0,0.25,0.0,1.0,10279.0,3515.0367740052534
WT_3_2,202.2007011881244,29.43617382447802,33.320402298850574,800.7435897435897,179.92,14.71808691223901,0.8834279238427278,5.399694709154413,0.2246911524544493,1.0,9.0,0.75,0.0,0.0,0.0,0.0
WT_3_3,18.745407485328315,3.7022202873313015,6.135265700483092,0.0,19.65714285714286,1.8511101436656507,0.6034327554941571,3.203959505061868,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_3_4,35.87267321351067,4.531160383297196,5.831255195344971,0.0,39.92982456140351,2.265580191648598,0.7770471762090558,6.847552237686161,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_4,1657.2585198774548,535.2505525416918,1571.0533707865168,8969.719298245614,0.0,267.6252762708459,0.3406953337770627,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
WT_4_2,17.450589029930722,2.661160525201186,3.104895104895105,0.0,33.0,1.330580262600593,0.8570854844679494,10.628378378378375,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_4_3,39.28848162827731,8.439037208324574,4.457627118644068,0.0,72.05128205128206,4.219518604162287,1.893168042932129,16.16359559325339,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WT_4_4,371.4805256143166,51.03754672103296,198.5090909090909,1532.5531914893618,359.7111111111111,25.51877336051648,0.257104329516103,1.8120636665241905,0.2347136224104154,1.0,9.0,0.75,0.0,0.0,0.0,0.0
WT_5,55.81474622167594,9.833530169637106,4.2153284671532845,0.0,38.093023255813954,4.916765084818553,2.332802828121704,9.036786469344609,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_5_2,50.11928742026361,11.88756833848348,19.41686367218282,0.0,71.5625,5.94378416924174,0.6122290674324486,3.6855849228896105,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_5_3,4534.495283192825,535.6418466120625,2647.032430625209,10532.329670329673,0.0,267.82092330603126,0.2023556041153405,0.0,0.0,1.0,15.0,0.0,0.0,2.0,4840.0,8740.678305785124
WT_5_4,43.27246975044114,5.975920873124148,5.982608695652174,0.0,56.75,2.9879604365620738,0.9988821226879026,9.485828488372093,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_6,3919.9838214155634,1223.7742805755397,4735.118174409128,8494.521739130434,0.0,611.8871402877697,0.2584464073546059,0.0,0.0,1.0,22.0,0.0,0.0,6.0,3434.0,7112.030285381479
