feature,n_genes,genes
code_tau_aggregate_mass_partition_entropy,4,C1ORF50;DNAJC1;ERVK13-1;NDUFAF8
code_tau_angular_second_harmonic_strength,4,DNAJC15;DOK6;MTPN;RNPC3
code_tau_angular_sector_entropy_deficit,2,BSDC1;SH3BP5-AS1
code_tau_boundary_distance_information_coupling,6,AADAT;C1ORF112;MTMR3;NPIPB5;TCEAL1;ZBED3
code_tau_boundary_distance_isotonic_fit_error,8,BMPR1B;EFL1;EPHX1;ITPRIP;MLST8;RECQL;TADA1;USB1
code_tau_boundary_distance_quantile_spline_curvature,4,AADAT;CORO1A;NPIPB5;PABPC1L
code_tau_cell_edge_arc_run_entropy,4,EGLN1;KATNAL1;MED23;SUV39H1
code_tau_cell_glcm_correlation_decay_length,7,AADAT;ANKRD12;BTN2A2;CORO1A;NPIPB5;PABPC1L;ZNF275
code_tau_centroid_to_nucleus_axis_alignment,4,ATP6V0E2;CRABP1;GAL;SRGAP3
code_tau_component_shape_diversity_entropy,8,AADAT;ARHGEF1;B4GALT5;CHMP7;DUSP18;METTL7A;POFUT1;TLCD3A
code_tau_condensate_intensity_size_allometry,2,SMNDC1;STAT2
code_tau_dark_basin_depth_entropy,3,AADAT;CDKN2D;KCNJ8
code_tau_filamentous_vesselness_coupling,8,AADAT;CHST3;EPHX1;MGAT2;NPIPB5;PAXBP1;STAT2;TEN1-CDK3
code_tau_geodesic_profile_inflection_count,6,ARHGAP31;CBL;GSE1;KLHL20;PLS1;STAM
code_tau_granularity_small_to_large_scale_ratio,7,AADAT;MIGA1;MTMR3;NPIPB5;NXF1;PAXBP1;STAT2
code_tau_half_mass_distance_from_nucleus,8,BTD;EMC4;LMNTD1;MICAL1;MIGA1;RBPMS2;SOX12;UBE2Q1
code_tau_high_intensity_object_edge_sharpness,4,ANKRD12;SLC48A1;SNX24;TSPAN31
code_tau_high_signal_object_texture_dispersion,1,PABPC1L
code_tau_honeycomb_wall_hole_contrast,8,AADAT;CS;LMNTD1;MTMR3;NPIPB5;NXF1;PABPC1L;ZNF275
code_tau_hotspot_interior_exterior_gradient_ratio,16,ACAT1;AP2A2;C1QTNF6;CDKN2D;DZIP3;EPHX1;ETAA1;F8A1;GPKOW;KCNJ8;MANF;MLST8;MZT2B;RNF10;SNHG4;USB1
code_tau_hotspot_mark_correlation_decay_length,1,MYADM
code_tau_hotspot_voronoi_territory_inequality,4,C15ORF39;MANF;PPTC7;SETD1B
code_tau_intensity_centroid_centrality,2,BSDC1;SLC48A1
code_tau_intensity_centroid_offset_from_nucleus,1,BSDC1
code_tau_lacunarity_cell_texture,5,ADH5;EGLN2;FRMD6;GPKOW;KCNJ8
code_tau_levelset_centroid_drift_index,5,EGLN1;STK39;TRIM3;TSR2;TTC21B
code_tau_log_punctateness_index,9,BORCS8;CXXC1;FBXO30;HUS1;MICAL1;PAXBP1;PPP1R8;STAT2;ZC3H14
code_tau_mass_covariance_elongation,4,ATG4B;DOK6;IFT57;MTPN
code_tau_mass_nucleus_cell_axis_third_moment,3,AKR1A1;RPS6KA3;ZNF232
code_tau_mass_principal_axis_kurtosis,8,BTD;EMC4;ETAA1;LMNTD1;MIR9-3HG;PAXBP1;PDGFRA;SNHG4
code_tau_mesh_hole_area_fraction,6,ABRAXAS2;DDI2;PAXBP1;PCNX3;RCHY1;ZNF808
code_tau_microterritory_mass_entropy,7,EGLN2;EIF3K;FASN;GPKOW;KCNJ8;MSL1;PPT2
code_tau_midband_spectral_flatness,4,IGBP1;MACROD1;MIR9-3HG;NXF1
code_tau_multiscale_granularity_ratio,3,ANKRD12;MACROD1;NXF1
